,album_name,album_id,artist_name,artist_id,song_name,release_date,album_uri,song_id,uri,duration_ms,explicit,popularity
40,Take a Rest,1JWM6OVhoe7bInrtbiePPl,Tora,7KGI0OwY8iAL5rI5p47YyK,Entity,2017-06-09,spotify:album:1JWM6OVhoe7bInrtbiePPl,6ThstWIn274ADNjJBnUbEQ,spotify:track:6ThstWIn274ADNjJBnUbEQ,274714,False,10
41,Hard Groove,7ocjymC4B0S00K0BZ71M9X,The RH Factor,3m7Ej9zfNto7JOsjKsYhEr,Forget Regret,2003-01-01,spotify:album:7ocjymC4B0S00K0BZ71M9X,34iP1qPyAfLpBAcMo7TQfN,spotify:track:34iP1qPyAfLpBAcMo7TQfN,232160,False,46
42,Small Crimes / Keep on Calling,6P0OeaEOj3lhJ31agZkAc1,Nilüfer Yanya,09kXLeOXRyfNQMXRaDO4qA,Keep on Calling,2016-11-18,spotify:album:6P0OeaEOj3lhJ31agZkAc1,4FUrVPC15KK8OcABXprp3Z,spotify:track:4FUrVPC15KK8OcABXprp3Z,230310,False,0
43,"U Say (feat. Tyler, The Creator & Jay Prince)",5g0xMnMMjem2z6vr3ZXzES,GoldLink,5XenQ7XfcvQdfIbpLEFaKQ,"U Say (feat. Tyler, The Creator & Jay Prince)",2019-06-06,spotify:album:5g0xMnMMjem2z6vr3ZXzES,0xYlNtVflZPG1pUbk4qp77,spotify:track:0xYlNtVflZPG1pUbk4qp77,200801,True,48
44,Origin,7fn4t6YrZzqowiab2fugQK,Jordan Rakei,24icoQNJSEWNu3XvqKBR68,Rolling into One,2019-06-14,spotify:album:7fn4t6YrZzqowiab2fugQK,6rDunNC3OsxLUkxK1aEjnL,spotify:track:6rDunNC3OsxLUkxK1aEjnL,259196,False,0
45,K.T.S.E.,0mwf6u9KVhZDCNVyIi6JuU,Teyana Taylor,4ULO7IGI3M2bo0Ap7B9h8a,Hurry,2018-06-23,spotify:album:0mwf6u9KVhZDCNVyIi6JuU,6NqbN00vLmWfrQSx2wjD4z,spotify:track:6NqbN00vLmWfrQSx2wjD4z,174200,True,51
46,religion (u can lay your hands on me),48gI9FAseDW1WBUPWS5zKY,Shura,1qpR5mURxk3d8f6mww6uKT,religion (u can lay your hands on me),2019-06-12,spotify:album:48gI9FAseDW1WBUPWS5zKY,7rl1Frsgk11OLb193JtLra,spotify:track:7rl1Frsgk11OLb193JtLra,247346,False,0
47,Untitled,0Ycva8sqd96rxJAQhYFqSt,Kate Bollinger,4eArh1v6UwBbKkjdgHCned,Untitled,2019-05-21,spotify:album:0Ycva8sqd96rxJAQhYFqSt,2IoEP9SKwBpm4DL89MKTDZ,spotify:track:2IoEP9SKwBpm4DL89MKTDZ,179500,False,0
48,Suck It and See,2ym2jcqckXqWeTDoxz3Kst,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,Piledriver Waltz,2011-06-06,spotify:album:2ym2jcqckXqWeTDoxz3Kst,4Ai0ANRDYwx6mCD4Uty1WS,spotify:track:4Ai0ANRDYwx6mCD4Uty1WS,203880,False,59
49,Silk Canvas,2EbhWs13R3DTnsGXHVZSPy,VanJess,0Ek89uaJyo6NfWK22awFvI,Through Enough (feat. GoldLink),2018-07-27,spotify:album:2EbhWs13R3DTnsGXHVZSPy,4KaiIuQH1EH65zWQgyWWaQ,spotify:track:4KaiIuQH1EH65zWQgyWWaQ,268773,True,43
