,album_name,album_id,artist_name,artist_id,song_name,release_date,album_uri,song_id,uri,duration_ms,explicit,popularity,playlist_id,playlist_name
43,K.T.S.E.,0mwf6u9KVhZDCNVyIi6JuU,Teyana Taylor,4ULO7IGI3M2bo0Ap7B9h8a,Hurry,2018-06-23,spotify:album:0mwf6u9KVhZDCNVyIi6JuU,6NqbN00vLmWfrQSx2wjD4z,spotify:track:6NqbN00vLmWfrQSx2wjD4z,174200,True,51,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
44,religion (u can lay your hands on me),48gI9FAseDW1WBUPWS5zKY,Shura,1qpR5mURxk3d8f6mww6uKT,religion (u can lay your hands on me),2019-06-12,spotify:album:48gI9FAseDW1WBUPWS5zKY,7rl1Frsgk11OLb193JtLra,spotify:track:7rl1Frsgk11OLb193JtLra,247346,False,0,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
45,Untitled,0Ycva8sqd96rxJAQhYFqSt,Kate Bollinger,4eArh1v6UwBbKkjdgHCned,Untitled,2019-05-21,spotify:album:0Ycva8sqd96rxJAQhYFqSt,2IoEP9SKwBpm4DL89MKTDZ,spotify:track:2IoEP9SKwBpm4DL89MKTDZ,179500,False,0,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
46,Suck It and See,2ym2jcqckXqWeTDoxz3Kst,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,Piledriver Waltz,2011-06-06,spotify:album:2ym2jcqckXqWeTDoxz3Kst,4Ai0ANRDYwx6mCD4Uty1WS,spotify:track:4Ai0ANRDYwx6mCD4Uty1WS,203880,False,59,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
47,Silk Canvas,2EbhWs13R3DTnsGXHVZSPy,VanJess,0Ek89uaJyo6NfWK22awFvI,Through Enough (feat. GoldLink),2018-07-27,spotify:album:2EbhWs13R3DTnsGXHVZSPy,4KaiIuQH1EH65zWQgyWWaQ,spotify:track:4KaiIuQH1EH65zWQgyWWaQ,268773,True,43,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
48,Friends,3yuV4GeplvzBIiYGhQp2nd,Omar Apollo,5FxD8fkQZ6KcsSYupDVoSO,Kickback,2019-04-10,spotify:album:3yuV4GeplvzBIiYGhQp2nd,5MZQIjtghyFc4sMVUzD7MD,spotify:track:5MZQIjtghyFc4sMVUzD7MD,171106,False,53,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
49,Platinum Fire (Deluxe),0e8ZsVbYFyzRhHYKNOgthl,Arin Ray,6TvjXbopXg71XRM9OZWqUc,Reckless,2018-12-14,spotify:album:0e8ZsVbYFyzRhHYKNOgthl,1BybndP1YgPEIk6WUnL6kT,spotify:track:1BybndP1YgPEIk6WUnL6kT,233265,True,59,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
50,Wildin',7kSFfhqYkwCiBYzYm8o61i,Berhana,0WjtdWS6su0f3jrW9aqEHl,Wildin',2018-07-18,spotify:album:7kSFfhqYkwCiBYzYm8o61i,4LGg2NY9eHp0jF3L1WbCNl,spotify:track:4LGg2NY9eHp0jF3L1WbCNl,139613,True,53,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
51,I Wish I Missed My Ex,4CqmBX4qQUp0i5DDFkHCFd,Mahalia,16rCzZOMQX7P8Kmn5YKexI,I Wish I Missed My Ex,2018-05-31,spotify:album:4CqmBX4qQUp0i5DDFkHCFd,4jwP0pxx7su04FYc6J12EQ,spotify:track:4jwP0pxx7su04FYc6J12EQ,205263,False,58,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
52,A Brief Inquiry Into Online Relationships,6PWXKiakqhI17mTYM4y6oY,The 1975,3mIj9lX2MWuHmhNCA7LSCW,Sincerity Is Scary,2018-11-30,spotify:album:6PWXKiakqhI17mTYM4y6oY,6HguG9HRb1Ke1bhihfE4m8,spotify:track:6HguG9HRb1Ke1bhihfE4m8,225955,False,65,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
53,Rouge,5By9BZR5hxGhbkeq7sAcqZ,Yuna,3kHVioJpVxlazAAKQ64pC1,Castaway,2019-07-12,spotify:album:5By9BZR5hxGhbkeq7sAcqZ,19zPT36WogsfBd8HIaUnt4,spotify:track:19zPT36WogsfBd8HIaUnt4,269893,True,53,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
54,Uno Dos (feat. Jaden Smith),0u1kufnf2KBAb7dlKgD2XJ,¿Téo?,0jsnWH4QCKcAMpR7vEhh9u,Uno Dos (feat. Jaden Smith),2017-08-01,spotify:album:0u1kufnf2KBAb7dlKgD2XJ,6gigGFhKguOzObNC5QZbeW,spotify:track:6gigGFhKguOzObNC5QZbeW,169639,False,0,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
55,Nerve For The Ages,2aYbj0HPhxvsyNetLERWdR,Yves Jarvis,19h4y2F9duQ776bv1YhQYt,Nerve For The Ages,2017-11-28,spotify:album:2aYbj0HPhxvsyNetLERWdR,2fzK1mbS6V9UXQQ8reSjXH,spotify:track:2fzK1mbS6V9UXQQ8reSjXH,112977,False,34,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
56,Plant Feed,1i9xCz51Auu1kcwTcFLGAv,Nilüfer Yanya,09kXLeOXRyfNQMXRaDO4qA,The Florist,2017-06-09,spotify:album:1i9xCz51Auu1kcwTcFLGAv,19y7Eh2ORRo6spiEcr4aTU,spotify:track:19y7Eh2ORRo6spiEcr4aTU,201833,False,0,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
57,Singles,4RJinmp0qCu0rL4LKpXftN,Barrie,1pHO6SCEw9tuRx0IVMFL0g,Michigan,2018-10-12,spotify:album:4RJinmp0qCu0rL4LKpXftN,3UBkhPyI6UfmH86bxxPLcb,spotify:track:3UBkhPyI6UfmH86bxxPLcb,215000,False,35,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
58,Know-It-All (Deluxe),3rDbA12I5duZnlwakqDdZa,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,Here,2015-11-13,spotify:album:3rDbA12I5duZnlwakqDdZa,1wYZZtamWTQAoj8B812uKQ,spotify:track:1wYZZtamWTQAoj8B812uKQ,199453,False,67,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
