,album_name,album_id,artist_name,artist_id,song_name,release_date,album_uri,song_id,uri,duration_ms,explicit,popularity,playlist_id,playlist_name
38,Lucky Old Sun,4WZiQjmX5wVzQV7Aqk9AVP,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O,Boats,2008-10-14,spotify:album:4WZiQjmX5wVzQV7Aqk9AVP,6Hvkerq1P6q8DeOHjCh3hT,spotify:track:6Hvkerq1P6q8DeOHjCh3hT,275546,False,39,1uY4UVKMPbOFj9cdtNc6a6,sailing
39,Blake Shelton's Barn & Grill,6Dx1pg8UVVauDZajxg62RA,Blake Shelton,1UTPBmNbXNTittyMJrNkvw,Some Beach,2004-10-26,spotify:album:6Dx1pg8UVVauDZajxg62RA,7kWeSMXLxUHHOkFxsS0vhP,spotify:track:7kWeSMXLxUHHOkFxsS0vhP,204826,False,62,1uY4UVKMPbOFj9cdtNc6a6,sailing
40,One Particular Harbor,6jZCKHXKwY2PhYhCIIhwRc,Jimmy Buffett,28AyklUmMECPwdfo8NEsV0,Stars On The Water,1983,spotify:album:6jZCKHXKwY2PhYhCIIhwRc,1tCjn3xJR6odgDWdJF79zB,spotify:track:1tCjn3xJR6odgDWdJF79zB,196800,False,31,1uY4UVKMPbOFj9cdtNc6a6,sailing
41,One Particular Harbor,6jZCKHXKwY2PhYhCIIhwRc,Jimmy Buffett,28AyklUmMECPwdfo8NEsV0,Stars On The Water,1983,spotify:album:6jZCKHXKwY2PhYhCIIhwRc,1tCjn3xJR6odgDWdJF79zB,spotify:track:1tCjn3xJR6odgDWdJF79zB,196800,False,31,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
42,One Particular Harbor,6jZCKHXKwY2PhYhCIIhwRc,Jimmy Buffett,28AyklUmMECPwdfo8NEsV0,Stars On The Water,1983,spotify:album:6jZCKHXKwY2PhYhCIIhwRc,1tCjn3xJR6odgDWdJF79zB,spotify:track:1tCjn3xJR6odgDWdJF79zB,196800,False,31,1uY4UVKMPbOFj9cdtNc6a6,sailing
43,One Particular Harbor,6jZCKHXKwY2PhYhCIIhwRc,Jimmy Buffett,28AyklUmMECPwdfo8NEsV0,Stars On The Water,1983,spotify:album:6jZCKHXKwY2PhYhCIIhwRc,1tCjn3xJR6odgDWdJF79zB,spotify:track:1tCjn3xJR6odgDWdJF79zB,196800,False,31,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
44,Feeding Frenzy,0hfEkyYkjd2m5Km2jbpLBl,Jimmy Buffett,28AyklUmMECPwdfo8NEsV0,A Pirate Looks At 40 - Live/1990,1990-01-01,spotify:album:0hfEkyYkjd2m5Km2jbpLBl,3kawBgeEJMPI0aw7XH5lFA,spotify:track:3kawBgeEJMPI0aw7XH5lFA,269212,False,27,1uY4UVKMPbOFj9cdtNc6a6,sailing
45,Feeding Frenzy,0hfEkyYkjd2m5Km2jbpLBl,Jimmy Buffett,28AyklUmMECPwdfo8NEsV0,One Particular Harbour - Live/1990,1990-01-01,spotify:album:0hfEkyYkjd2m5Km2jbpLBl,1JZOZqjrMpIRDkszpy5djO,spotify:track:1JZOZqjrMpIRDkszpy5djO,385200,False,26,1uY4UVKMPbOFj9cdtNc6a6,sailing
46,Songs You Don't Know By Heart,3UdbDZgh2gOj7BCZiOrbeE,Jimmy Buffett,28AyklUmMECPwdfo8NEsV0,I Have Found Me a Home,2020-11-27,spotify:album:3UdbDZgh2gOj7BCZiOrbeE,6FTKRyJAaU0CMZQQlxBjY2,spotify:track:6FTKRyJAaU0CMZQQlxBjY2,225271,False,41,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
47,Songs You Don't Know By Heart,3UdbDZgh2gOj7BCZiOrbeE,Jimmy Buffett,28AyklUmMECPwdfo8NEsV0,Woman Goin' Crazy on Caroline Street,2020-11-27,spotify:album:3UdbDZgh2gOj7BCZiOrbeE,7J0vC86jXSmIXtiGcdiYir,spotify:track:7J0vC86jXSmIXtiGcdiYir,248648,False,40,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
